"행정구역(시군구)별",2018,2019,2020
"서울특별시",4263868,4327605,4417954
"부산광역시",1480468,1497908,1530431
"대구광역시",1021266,1031251,1056627
"인천광역시",1213201,1238641,1267956
"광주광역시",603107,616485,633582
"대전광역시",624965,635343,652783
"울산광역시",461756,468659,476893
"세종특별자치시",123762,135408,144275
"경기도",5306214,5468920,5676401
"강원도",707245,719524,736301
"충청북도",707220,722123,745644
"충청남도",943611,959255,983153
"전라북도",806235,816191,836660
"전라남도",860303,872628,893152
"경상북도",1207351,1227548,1254662
"경상남도",1425271,1450822,1484601
"제주특별자치도",287104,293155,302033
